lineType,nomDia,dt_mg,dt_corr,massDensity,subWeight,volEqDia,mbl,EA,transDrag_eqDia,longDrag_eqDia,transAddedMass_eqDia,longAddedMass_eqDia
sl_chain,0.135,0.05,0.005,441.50828992111985,3280.4584933841516,0.3647588244306092,15452629.043703703,1559963307.2625003,1.5462271567532533,0.7409005126109339,1.3448353614082036,0.6724176807041018
sl_chain,0.135,0.05,0.01,441.50828992111985,3280.4584933841516,0.3647588244306092,14286824.189814815,1559963307.2625003,1.5462271567532533,0.7409005126109339,1.3448353614082036,0.6724176807041018
sl_chain,0.135,0.1,0.0,560.1426825023045,3543.9611480003223,0.4970402398196751,16664151.735000003,1559963307.2625003,1.617575269744134,0.7750881500857307,1.4718092362243917,0.7359046181121959
sl_chain,0.135,0.1,0.005,560.1426825023045,3543.9611480003223,0.4970402398196751,15452629.043703703,1559963307.2625003,1.617575269744134,0.7750881500857307,1.4718092362243917,0.7359046181121959
sl_chain,0.135,0.1,0.01,560.1426825023045,3543.9611480003223,0.4970402398196751,14286824.189814815,1559963307.2625003,1.617575269744134,0.7750881500857307,1.4718092362243917,0.7359046181121959
sl_chain,0.135,0.2,0.0,922.2897756448679,4348.337672618107,0.7713941923556334,16664151.735000003,1559963307.2625003,1.6645186244908123,0.7975818409018476,1.5584750163431922,0.7792375081715961
sl_chain,0.135,0.2,0.005,922.2897756448679,4348.337672618107,0.7713941923556334,15452629.043703703,1559963307.2625003,1.6645186244908123,0.7975818409018476,1.5584750163431922,0.7792375081715961
sl_chain,0.135,0.2,0.01,922.2897756448679,4348.337672618107,0.7713941923556334,14286824.189814815,1559963307.2625003,1.6645186244908123,0.7975818409018476,1.5584750163431922,0.7792375081715961
sl_chain,0.137,0.0,0.0,375.3800000000001,3202.2261134902265,0.2466,17079351.737000003,1606525345.8271005,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.137,0.0,0.005,375.3800000000001,3202.2261134902265,0.2466,15855433.143240878,1606525345.8271005,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.137,0.0,0.01,375.3800000000001,3202.2261134902265,0.2466,14677013.381963506,1606525345.8271005,1.3333333333333333,0.6388888888888888,1.0000000000000002,0.5000000000000001
sl_chain,0.137,0.05,0.0,453.22081197432124,3375.1208377471526,0.3682547487813293,17079351.737000003,1606525345.8271005,1.5445829330981826,0.7401126554428792,1.341976745935229,0.6709883729676145
sl_chain,0.137,0.05,0.005,453.22081197432124,3375.1208377471526,0.3682547487813293,15855433.143240878,1606525345.8271005,1.5445829330981826,0.7401126554428792,1.341976745935229,0.6709883729676145
sl_chain,0.137,0.05,0.01,453.22081197432124,3375.1208377471526,0.3682547487813293,14677013.381963506,1606525345.8271005,1.5445829330981826,0.7401126554428792,1.341976745935229,0.6709883729676145
sl_chain,0.137,0.1,0.0,572.6877266087071,3640.472633799226,0.5004113907576445,17079351.737000003,1606525345.8271005,1.616270162786346,0.7744627863351242,1.4694351970012889,0.7347175985006444
sl_chain,0.137,0.1,0.005,572.6877266087071,3640.472633799226,0.5004113907576445,15855433.143240878,1606525345.8271005,1.616270162786346,0.7744627863351242,1.4694351970012889,0.7347175985006444
sl_chain,0.137,0.1,0.01,572.6877266087071,3640.472633799226,0.5004113907576445,14677013.381963506,1606525345.8271005,1.616270162786346,0.7744627863351242,1.4694351970012889,0.7347175985006444
sl_chain,0.137,0.2,0.0,936.4998638576732,4448.547441288816,0.7746041311534557,17079351.737000003,1606525345.8271005,1.6638176174981922,0.7972459417178838,1.5571625986672657,0.7785812993336328
sl_chain,0.137,0.2,0.005,936.4998638576732,4448.547441288816,0.7746041311534557,15855433.143240878,1606525345.8271005,1.6638176174981922,0.7972459417178838,1.5571625986672657,0.7785812993336328
sl_chain,0.137,0.2,0.01,936.4998638576732,4448.547441288816,0.7746041311534557,14677013.381963506,1606525345.8271005,1.6638176174981922,0.7972459417178838,1.5571625986672657,0.7785812993336328
sl_chain,0.142,0.0,0.0,403.28,3440.2305584962915,0.25559999999999994,18127968.641999997,1725925872.7815998,1.3333333333333337,0.638888888888889,1.0000000000000004,0.5000000000000002
sl_chain,0.142,0.0,0.005,403.28,3440.2305584962915,0.25559999999999994,16873826.792387318,1725925872.7815998,1.3333333333333337,0.638888888888889,1.0000000000000004,0.5000000000000002
sl_chain,0.142,0.0,0.01,403.28,3440.2305584962915,0.25559999999999994,15664636.263549292,1725925872.7815998,1.3333333333333337,0.638888888888889,1.0000000000000004,0.5000000000000002
sl_chain,0.142,0.05,0.0,483.2021171073243,3617.7481363429747,0.3770031299604818,18127968.641999997,1725925872.7815998,1.5405707641230473,0.7381901578089601,1.3350140320897521,0.6675070160448761
sl_chain,0.142,0.05,0.005,483.2021171073243,3617.7481363429747,0.3770031299604818,16873826.792387318,1725925872.7815998,1.5405707641230473,0.7381901578089601,1.3350140320897521,0.6675070160448761
sl_chain,0.142,0.05,0.01,483.2021171073243,3617.7481363429747,0.3770031299604818,15664636.263549292,1725925872.7815998,1.5405707641230473,0.7381901578089601,1.3350140320897521,0.6675070160448761
sl_chain,0.142,0.1,0.0,604.7503368747134,3887.722785984806,0.5088529846625643,18127968.641999997,1725925872.7815998,1.6130395708385143,0.7729147943601213,1.4635668696136306,0.7317834348068153
sl_chain,0.142,0.1,0.005,604.7503368747134,3887.722785984806,0.5088529846625643,16873826.792387318,1725925872.7815998,1.6130395708385143,0.7729147943601213,1.4635668696136306,0.7317834348068153
sl_chain,0.142,0.1,0.01,604.7503368747134,3887.722785984806,0.5088529846625643,15664636.263549292,1725925872.7815998,1.6130395708385143,0.7729147943601213,1.4635668696136306,0.7317834348068153
sl_chain,0.142,0.2,0.0,972.7250843896859,4705.043300653911,0.7826438270375612,18127968.641999997,1725925872.7815998,1.6620587233451358,0.7964031382695441,1.5538720499143102,0.7769360249571551
sl_chain,0.142,0.2,0.005,972.7250843896859,4705.043300653911,0.7826438270375612,16873826.792387318,1725925872.7815998,1.6620587233451358,0.7964031382695441,1.5538720499143102,0.7769360249571551
sl_chain,0.142,0.2,0.01,972.7250843896859,4705.043300653911,0.7826438270375612,15664636.263549292,1725925872.7815998,1.6620587233451358,0.7964031382695441,1.5538720499143102,0.7769360249571551
