,condName,__name__,MooringFile,SeaStFile|WaveHs,SeaStFile|WaveTp,SeaStFile|WaveDir,SeaStFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,InflowFile|RotorApexOffsetPos,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
69,70,Run_P200_C142_L1430_clump40_70_S1,"""Moordyn_P200_C142_L1430_clump40_70.dat""",2.08796,13.8382,-20.204,542717549,34.99,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_70_seed1.bts""",0 0 0,-34.99,,,,,,,0.0,6.59145,0.14
70,71,Run_P200_C142_L1430_clump40_71_S1,"""Moordyn_P200_C142_L1430_clump40_71.dat""",2.10415,16.8221,34.768,1517546534,-79.396,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_71_seed1.bts""",0 0 0,79.396,,,,,,,0.0,3.996,0.14
71,72,Run_P200_C142_L1430_clump40_72_S1,"""Moordyn_P200_C142_L1430_clump40_72.dat""",3.27698,10.3062,90.923,-633032848,-132.863,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_72_seed1.bts""",0 0 0,132.863,,,,,,,0.0,17.3828,0.14
72,73,Run_P200_C142_L1430_clump40_73_S1,"""Moordyn_P200_C142_L1430_clump40_73.dat""",5.44032,15.2195,21.941,-239100211,-68.609,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_73_seed1.bts""",0 0 0,68.609,,,,,,,0.0,9.69528,0.14
73,74,Run_P200_C142_L1430_clump40_74_S1,"""Moordyn_P200_C142_L1430_clump40_74.dat""",0.964516,14.9206,102.119,2046612114,-95.858,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_74_seed1.bts""",0 0 0,95.858,,,,,,,0.0,3.68083,0.14
74,75,Run_P200_C142_L1430_clump40_75_S1,"""Moordyn_P200_C142_L1430_clump40_75.dat""",1.54142,5.84783,111.924,-1530510500,-131.109,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_75_seed1.bts""",0 0 0,131.109,,,,,,,0.0,12.3388,0.14
75,76,Run_P200_C142_L1430_clump40_76_S1,"""Moordyn_P200_C142_L1430_clump40_76.dat""",3.87331,10.8174,81.855,1010217297,-151.666,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_76_seed1.bts""",0 0 0,151.666,,,,,,,0.0,21.8904,0.14
76,77,Run_P200_C142_L1430_clump40_77_S1,"""Moordyn_P200_C142_L1430_clump40_77.dat""",1.22914,14.1039,85.22,873876342,-14.851,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_77_seed1.bts""",0 0 0,14.851,,,,,,,0.0,3.74899,0.14
77,78,Run_P200_C142_L1430_clump40_78_S1,"""Moordyn_P200_C142_L1430_clump40_78.dat""",0.946219,15.0797,102.24,31557427,64.4837,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_78_seed1.bts""",0 0 0,-64.4837,,,,,,,0.0,3.20655,0.14
78,79,Run_P200_C142_L1430_clump40_79_S1,"""Moordyn_P200_C142_L1430_clump40_79.dat""",1.74247,8.61776,78.328,-1398062120,-73.284,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_79_seed1.bts""",0 0 0,73.284,,,,,,,0.0,5.57359,0.14
79,80,Run_P200_C142_L1430_clump40_80_S1,"""Moordyn_P200_C142_L1430_clump40_80.dat""",1.04481,15.0796,112.978,-229123931,-144.99,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_80_seed1.bts""",0 0 0,144.99,,,,,,,0.0,6.37156,0.14
80,81,Run_P200_C142_L1430_clump40_81_S1,"""Moordyn_P200_C142_L1430_clump40_81.dat""",4.1069,8.59346,125.612,-984432137,-151.47,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_81_seed1.bts""",0 0 0,151.47,0.0,0.0,90.0,90.0,90.0,0.0,0.0,27.3364,0.14
81,82,Run_P200_C142_L1430_clump40_82_S1,"""Moordyn_P200_C142_L1430_clump40_82.dat""",2.4188,17.1783,2.54,538674164,6.227,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_82_seed1.bts""",0 0 0,-6.227,,,,,,,0.0,4.02758,0.14
82,83,Run_P200_C142_L1430_clump40_83_S1,"""Moordyn_P200_C142_L1430_clump40_83.dat""",1.92738,9.36299,89.721,-1563099057,177.897,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_83_seed1.bts""",0 0 0,-177.897,,,,,,,0.0,6.7559,0.14
